"country_name","country_code","year","time_code","Indicator","Value"
"Australia","AUS",2009,"YR2009","consumer_price",-0.50305498930845
"Australia","AUS",2009,"YR2009","inflation",-0.320335865938611
"Australia","AUS",2009,"YR2009","inflation_deflator",0.134510554211583
"Australia","AUS",2009,"YR2009","net_nat_income_percapita_NY.ADJ.NNTY.PC.CD",0.575641989130516
"Australia","AUS",2009,"YR2009","net_nat_income_NY.ADJ.NNTY.CD",-0.445911680251346
"Australia","AUS",2009,"YR2009","household_expenditure_GDP",-0.112580141632472
"Australia","AUS",2009,"YR2009","household_expenditure_per_capita",-0.848648620817463
"Australia","AUS",2009,"YR2009","household_expenditure_ppp",-0.606299959871581
"Australia","AUS",2009,"YR2009","gdp_percapita_NY.GDP.PCAP.PP.CD",0.0996144703109709
"Australia","AUS",2009,"YR2009","gdp_percapita_growth_NY.GDP.PCAP.KD.ZG",-0.500962852748494
"Australia","AUS",2009,"YR2009","gdp_deflator_NY.GDP.DEFL.ZS",-0.576711479114879
"Australia","AUS",2009,"YR2009","life_expectancy_SP.DYN.LE00.IN",0.719458773259974
"Australia","AUS",2009,"YR2009","health_expenditure_SH.XPD.CHEX.PP.CD",0.0869059337812927
"Australia","AUS",2009,"YR2009","health_expenditure_per_cap",0.110471013617237
"Australia","AUS",2009,"YR2009","volatility_variable",-0.331911651339032
"Australia","AUS",2009,"YR2009","cost_variable",-0.842960858622432
"Australia","AUS",2009,"YR2009","is_g7",0
"Australia","AUS",2009,"YR2009","is_oecd",1
"Australia","AUS",2009,"YR2009","is_global_north",1
"Australia","AUS",2009,"YR2009","is_global_south",0
"Australia","AUS",2010,"YR2010","consumer_price",-0.452303235766453
"Australia","AUS",2010,"YR2010","inflation",-0.124001369258552
"Australia","AUS",2010,"YR2010","inflation_deflator",-0.341585312584882
"Australia","AUS",2010,"YR2010","net_nat_income_percapita_NY.ADJ.NNTY.PC.CD",0.980489192312175
"Australia","AUS",2010,"YR2010","net_nat_income_NY.ADJ.NNTY.CD",-0.397300546342374
"Australia","AUS",2010,"YR2010","household_expenditure_GDP",0.048368567712137
"Australia","AUS",2010,"YR2010","household_expenditure_per_capita",0.0427470443859827
"Australia","AUS",2010,"YR2010","household_expenditure_ppp",-0.598438154075288
"Australia","AUS",2010,"YR2010","gdp_percapita_NY.GDP.PCAP.PP.CD",0.0498692459263183
"Australia","AUS",2010,"YR2010","gdp_percapita_growth_NY.GDP.PCAP.KD.ZG",-0.266276585857109
"Australia","AUS",2010,"YR2010","gdp_deflator_NY.GDP.DEFL.ZS",-0.566371289118331
"Australia","AUS",2010,"YR2010","life_expectancy_SP.DYN.LE00.IN",0.750150907461388
"Australia","AUS",2010,"YR2010","health_expenditure_SH.XPD.CHEX.PP.CD",0.0490250947835696
"Australia","AUS",2010,"YR2010","health_expenditure_per_cap",0.127099972180875
"Australia","AUS",2010,"YR2010","volatility_variable",-0.521216498092986
"Australia","AUS",2010,"YR2010","cost_variable",-0.872094459905999
"Australia","AUS",2010,"YR2010","is_g7",0
"Australia","AUS",2010,"YR2010","is_oecd",1
"Australia","AUS",2010,"YR2010","is_global_north",1
"Australia","AUS",2010,"YR2010","is_global_south",0
"Australia","AUS",2011,"YR2011","consumer_price",-0.393170458703767
"Australia","AUS",2011,"YR2011","inflation",-0.0580255769292123
"Australia","AUS",2011,"YR2011","inflation_deflator",0.29166150652567
"Australia","AUS",2011,"YR2011","net_nat_income_percapita_NY.ADJ.NNTY.PC.CD",1.44219643066008
"Australia","AUS",2011,"YR2011","net_nat_income_NY.ADJ.NNTY.CD",-0.341294168577596
"Australia","AUS",2011,"YR2011","household_expenditure_GDP",-0.121533521184774
"Australia","AUS",2011,"YR2011","household_expenditure_per_capita",0.214483927879185
"Australia","AUS",2011,"YR2011","household_expenditure_ppp",-0.587007464991433
"Australia","AUS",2011,"YR2011","gdp_percapita_NY.GDP.PCAP.PP.CD",0.190170580025761
"Australia","AUS",2011,"YR2011","gdp_percapita_growth_NY.GDP.PCAP.KD.ZG",-0.166514073549894
"Australia","AUS",2011,"YR2011","gdp_deflator_NY.GDP.DEFL.ZS",-0.510147443002004
"Australia","AUS",2011,"YR2011","life_expectancy_SP.DYN.LE00.IN",0.790743730114865
"Australia","AUS",2011,"YR2011","health_expenditure_SH.XPD.CHEX.PP.CD",0.0846878586467059
"Australia","AUS",2011,"YR2011","health_expenditure_per_cap",0.200932543407064
"Australia","AUS",2011,"YR2011","volatility_variable",-0.433747077272303
"Australia","AUS",2011,"YR2011","cost_variable",-0.87551717742271
"Australia","AUS",2011,"YR2011","is_g7",0
"Australia","AUS",2011,"YR2011","is_oecd",1
"Australia","AUS",2011,"YR2011","is_global_north",1
"Australia","AUS",2011,"YR2011","is_global_south",0
"Australia","AUS",2012,"YR2012","consumer_price",-0.36057758945661
"Australia","AUS",2012,"YR2012","inflation",-0.321762652951194
"Australia","AUS",2012,"YR2012","inflation_deflator",-0.259807650263779
"Australia","AUS",2012,"YR2012","net_nat_income_percapita_NY.ADJ.NNTY.PC.CD",1.74749736636841
"Australia","AUS",2012,"YR2012","net_nat_income_NY.ADJ.NNTY.CD",-0.300464732871372
"Australia","AUS",2012,"YR2012","household_expenditure_GDP",-0.154454463690744
"Australia","AUS",2012,"YR2012","household_expenditure_per_capita",-0.155375758668518
"Australia","AUS",2012,"YR2012","household_expenditure_ppp",-0.580869980818089
"Australia","AUS",2012,"YR2012","gdp_percapita_NY.GDP.PCAP.PP.CD",0.234677583097393
"Australia","AUS",2012,"YR2012","gdp_percapita_growth_NY.GDP.PCAP.KD.ZG",0.152221096351833
"Australia","AUS",2012,"YR2012","gdp_deflator_NY.GDP.DEFL.ZS",-0.492762696549223
"Australia","AUS",2012,"YR2012","life_expectancy_SP.DYN.LE00.IN",0.82143586431627
"Australia","AUS",2012,"YR2012","health_expenditure_SH.XPD.CHEX.PP.CD",0.126414269467116
"Australia","AUS",2012,"YR2012","health_expenditure_per_cap",0.207481866511346
"Australia","AUS",2012,"YR2012","volatility_variable",-0.543759216049764
